date,time,home,away,venue,league,umpire1,realumpire1,umpire2,realumpire2,observer,realobserver,off,moved,notes
31/08/2024,12:30,Royston,Histon II,,Whitings 3,,,,,,,,,
31/08/2024,12:30,Ufford Park,Foxton Granta II,,Whitings 3,,,,,,,,,
31/08/2024,13:00,Abington,Horseheath,,CCA Sen 1,,,,,,,,,
31/08/2024,13:00,Longstanton Grasshoppers,Bluntisham,,CCA Sen 1,,,,,,,,,
31/08/2024,13:00,Thriplow,Fulbourn Institute,,CCA Sen 1,,,,,,,,,
31/08/2024,13:00,Wilburton,City of Ely,,CCA Sen 1,,,,,,,,,
31/08/2024,13:00,Cambridge St Giles II,Cambourne II,,CCA Sen 2,,,,,,,,,
31/08/2024,13:00,Linton Village,Saffron Walden III,,CCA Sen 2,,,,,,,,,
31/08/2024,13:00,Madingley,Chatteris,,CCA Sen 2,,,,,,,,,
31/08/2024,13:00,Milton,Cambridge Old Monks,,CCA Sen 2,,,,,,,,,
31/08/2024,13:00,Wilbrahams,Audley End,,CCA Sen 2,,,,,,,,,
31/08/2024,13:00,Chesterfords,Elmdon,,CCA Sen 3,,,,,,,,,
31/08/2024,13:00,Ickleton,Buntingford,,CCA Sen 3,,,,,,,,,
31/08/2024,13:00,March Town II,Cottenham,,CCA Sen 3,,,,,,,,,
31/08/2024,13:00,Saint Ives & Warboys II,Little Shelford,,CCA Sen 3,,,,,,,,,
31/08/2024,13:00,TAC,Chippenham,,CCA Sen 3,,,,,,,,,
07/09/2024,11:30,Blunham,Eaton Socon,,Whitings 1,,,,,,,,,Pink Ball
07/09/2024,11:30,Histon,Burwell & Exning,,Whitings 1,,,,,,,,,Pink Ball
07/09/2024,11:30,Old Leysians,Cambridge Saint Giles,Ground Required,Whitings 1,,,,,,,,,Pink Ball
07/09/2024,11:30,Ramsey,Foxton Granta,,Whitings 1,,,,,,,,,Pink Ball
07/09/2024,11:30,Southill Park,Saffron Walden II,,Whitings 1,,,,,,,,,Pink Ball
07/09/2024,11:30,Wisbech Town,Sawston & Babraham II,,Whitings 1,,,,,,,,,Pink Ball
14/09/2024,11:30,Blunham,Southill Park,,Whitings 1,,,,,,,,,Pink Ball
14/09/2024,11:30,Cambridge Saint Giles,Foxton Granta,,Whitings 1,,,,,,,,,Pink Ball
14/09/2024,11:30,Eaton Socon,Histon,,Whitings 1,,,,,,,,,Pink Ball
14/09/2024,11:30,Saffron Walden II,Old Leysians,,Whitings 1,,,,,,,,,Pink Ball
14/09/2024,11:30,Sawston & Babraham II,Burwell & Exning,,Whitings 1,,,,,,,,,Pink Ball
14/09/2024,11:30,Wisbech Town,Ramsey,,Whitings 1,,,,,,,,,Pink Ball
