date,time,home,away,venue,league,umpire1,realumpire1,umpire2,realumpire2,observer,realobserver,off,moved,notes
31/08/2025,12:00,Old Leysians,Cambridge Saint Giles,Caldecote,Onyx 1,,,,,,,,,Pink Ball
06/09/2025,11:00,Blunham,Histon,,Onyx 1,,,,,,,,,Pink Ball
06/09/2025,11:00,Burwell & Exning,Eaton Socon,,Onyx 1,,,,,,,,,Pink Ball
06/09/2025,11:00,Castor & Ailsworth,Ramsey,,Onyx 1,,,,,,,,,Pink Ball
06/09/2025,11:00,Foxton Granta,Wisbech Town,,Onyx 1,,,,,,,,,Pink Ball
06/09/2025,11:00,Saffron Walden,Old Leysians,,Onyx 1,,,,,,,,,Pink Ball
06/09/2025,11:00,Sawston & Babraham II,Cambridge Saint Giles,,Onyx 1,,,,,,,,,Pink Ball
06/09/2025,11:00,3rd/4th Bottom Division 2,Runners-up Division 3,,Onyx Play-off,,,,,,,,,
13/09/2025,11:00,Cambridge Saint Giles,Burwell & Exning,,Onyx 1,,,,,,,,,Pink Ball
13/09/2025,11:00,Eaton Socon,Old Leysians,,Onyx 1,,,,,,,,,Pink Ball
13/09/2025,11:00,Histon,Sawston & Babraham II,,Onyx 1,,,,,,,,,Pink Ball
13/09/2025,11:00,Ramsey,Blunham,,Onyx 1,,,,,,,,,Pink Ball
13/09/2025,11:00,Saffron Walden,Foxton Granta,,Onyx 1,,,,,,,,,Pink Ball
13/09/2025,11:00,Wisbech Town,Castor & Ailsworth,,Onyx 1,,,,,,,,,Pink Ball
14/09/2025,11:00,3rd/4th Bottom Division 1,Runners-up Division 2,,Onyx Play-off,,,,,,,,,
